OrdFY25	POAexemptCode	Description
35392	S20.112D	"Abrasion of breast, left breast, subsequent encounter"
35393	S20.112S	"Abrasion of breast, left breast, sequela"
35396	S20.119D	"Abrasion of breast, unspecified breast, subsequent encounter"
35397	S20.119S	"Abrasion of breast, unspecified breast, sequela"
35401	S20.121D	"Blister (nonthermal) of breast, right breast, subsequent encounter"
35402	S20.121S	"Blister (nonthermal) of breast, right breast, sequela"
35405	S20.122D	"Blister (nonthermal) of breast, left breast, subsequent encounter"
35406	S20.122S	"Blister (nonthermal) of breast, left breast, sequela"
35409	S20.129D	"Blister (nonthermal) of breast, unspecified breast, subsequent encounter"
35410	S20.129S	"Blister (nonthermal) of breast, unspecified breast, sequela"
35414	S20.141D	"External constriction of part of breast, right breast, subsequent encounter"
35415	S20.141S	"External constriction of part of breast, right breast, sequela"
35418	S20.142D	"External constriction of part of breast, left breast, subsequent encounter"
35419	S20.142S	"External constriction of part of breast, left breast, sequela"
35422	S20.149D	"External constriction of part of breast, unspecified breast, subsequent encounter"
35423	S20.149S	"External constriction of part of breast, unspecified breast, sequela"
35427	S20.151D	"Superficial foreign body of breast, right breast, subsequent encounter"
35428	S20.151S	"Superficial foreign body of breast, right breast, sequela"
35431	S20.152D	"Superficial foreign body of breast, left breast, subsequent encounter"
35432	S20.152S	"Superficial foreign body of breast, left breast, sequela"
35435	S20.159D	"Superficial foreign body of breast, unspecified breast, subsequent encounter"
35436	S20.159S	"Superficial foreign body of breast, unspecified breast, sequela"
35440	S20.161D	"Insect bite (nonvenomous) of breast, right breast, subsequent encounter"
35441	S20.161S	"Insect bite (nonvenomous) of breast, right breast, sequela"
35444	S20.162D	"Insect bite (nonvenomous) of breast, left breast, subsequent encounter"
35445	S20.162S	"Insect bite (nonvenomous) of breast, left breast, sequela"
35448	S20.169D	"Insect bite (nonvenomous) of breast, unspecified breast, subsequent encounter"
35449	S20.169S	"Insect bite (nonvenomous) of breast, unspecified breast, sequela"
35453	S20.171D	"Other superficial bite of breast, right breast, subsequent encounter"
35454	S20.171S	"Other superficial bite of breast, right breast, sequela"
35457	S20.172D	"Other superficial bite of breast, left breast, subsequent encounter"
35458	S20.172S	"Other superficial bite of breast, left breast, sequela"
35461	S20.179D	"Other superficial bite of breast, unspecified breast, subsequent encounter"
35462	S20.179S	"Other superficial bite of breast, unspecified breast, sequela"
35466	S20.20XD	"Contusion of thorax, unspecified, subsequent encounter"
35467	S20.20XS	"Contusion of thorax, unspecified, sequela"
35471	S20.211D	"Contusion of right front wall of thorax, subsequent encounter"
35472	S20.211S	"Contusion of right front wall of thorax, sequela"
35475	S20.212D	"Contusion of left front wall of thorax, subsequent encounter"
35476	S20.212S	"Contusion of left front wall of thorax, sequela"
35479	S20.213D	"Contusion of bilateral front wall of thorax, subsequent encounter"
35480	S20.213S	"Contusion of bilateral front wall of thorax, sequela"
35483	S20.214D	"Contusion of middle front wall of thorax, subsequent encounter"
35484	S20.214S	"Contusion of middle front wall of thorax, sequela"
35487	S20.219D	"Contusion of unspecified front wall of thorax, subsequent encounter"
35488	S20.219S	"Contusion of unspecified front wall of thorax, sequela"
35492	S20.221D	"Contusion of right back wall of thorax, subsequent encounter"
35493	S20.221S	"Contusion of right back wall of thorax, sequela"
35496	S20.222D	"Contusion of left back wall of thorax, subsequent encounter"
35497	S20.222S	"Contusion of left back wall of thorax, sequela"
35500	S20.223D	"Contusion of bilateral back wall of thorax, subsequent encounter"
35501	S20.223S	"Contusion of bilateral back wall of thorax, sequela"
35504	S20.224D	"Contusion of middle back wall of thorax, subsequent encounter"
35505	S20.224S	"Contusion of middle back wall of thorax, sequela"
35508	S20.229D	"Contusion of unspecified back wall of thorax, subsequent encounter"
35509	S20.229S	"Contusion of unspecified back wall of thorax, sequela"
35514	S20.301D	"Unspecified superficial injuries of right front wall of thorax, subsequent encounter"
35515	S20.301S	"Unspecified superficial injuries of right front wall of thorax, sequela"
35518	S20.302D	"Unspecified superficial injuries of left front wall of thorax, subsequent encounter"
35519	S20.302S	"Unspecified superficial injuries of left front wall of thorax, sequela"
35522	S20.303D	"Unspecified superficial injuries of bilateral front wall of thorax, subsequent encounter"
35523	S20.303S	"Unspecified superficial injuries of bilateral front wall of thorax, sequela"
35526	S20.304D	"Unspecified superficial injuries of middle front wall of thorax, subsequent encounter"
35527	S20.304S	"Unspecified superficial injuries of middle front wall of thorax, sequela"
35530	S20.309D	"Unspecified superficial injuries of unspecified front wall of thorax, subsequent encounter"
35531	S20.309S	"Unspecified superficial injuries of unspecified front wall of thorax, sequela"
35535	S20.311D	"Abrasion of right front wall of thorax, subsequent encounter"
35536	S20.311S	"Abrasion of right front wall of thorax, sequela"
35539	S20.312D	"Abrasion of left front wall of thorax, subsequent encounter"
35540	S20.312S	"Abrasion of left front wall of thorax, sequela"
35543	S20.313D	"Abrasion of bilateral front wall of thorax, subsequent encounter"
35544	S20.313S	"Abrasion of bilateral front wall of thorax, sequela"
35547	S20.314D	"Abrasion of middle front wall of thorax, subsequent encounter"
35548	S20.314S	"Abrasion of middle front wall of thorax, sequela"
35551	S20.319D	"Abrasion of unspecified front wall of thorax, subsequent encounter"
35552	S20.319S	"Abrasion of unspecified front wall of thorax, sequela"
35556	S20.321D	"Blister (nonthermal) of right front wall of thorax, subsequent encounter"
35557	S20.321S	"Blister (nonthermal) of right front wall of thorax, sequela"
35560	S20.322D	"Blister (nonthermal) of left front wall of thorax, subsequent encounter"
35561	S20.322S	"Blister (nonthermal) of left front wall of thorax, sequela"
35564	S20.323D	"Blister (nonthermal) of bilateral front wall of thorax, subsequent encounter"
35565	S20.323S	"Blister (nonthermal) of bilateral front wall of thorax, sequela"
35568	S20.324D	"Blister (nonthermal) of middle front wall of thorax, subsequent encounter"
35569	S20.324S	"Blister (nonthermal) of middle front wall of thorax, sequela"
35572	S20.329D	"Blister (nonthermal) of unspecified front wall of thorax, subsequent encounter"
35573	S20.329S	"Blister (nonthermal) of unspecified front wall of thorax, sequela"
35577	S20.341D	"External constriction of right front wall of thorax, subsequent encounter"
35578	S20.341S	"External constriction of right front wall of thorax, sequela"
35581	S20.342D	"External constriction of left front wall of thorax, subsequent encounter"
35582	S20.342S	"External constriction of left front wall of thorax, sequela"
35585	S20.343D	"External constriction of bilateral front wall of thorax, subsequent encounter"
35586	S20.343S	"External constriction of bilateral front wall of thorax, sequela"
35589	S20.344D	"External constriction of middle front wall of thorax, subsequent encounter"
35590	S20.344S	"External constriction of middle front wall of thorax, sequela"
35593	S20.349D	"External constriction of unspecified front wall of thorax, subsequent encounter"
35594	S20.349S	"External constriction of unspecified front wall of thorax, sequela"
35598	S20.351D	"Superficial foreign body of right front wall of thorax, subsequent encounter"
35599	S20.351S	"Superficial foreign body of right front wall of thorax, sequela"
35602	S20.352D	"Superficial foreign body of left front wall of thorax, subsequent encounter"
35603	S20.352S	"Superficial foreign body of left front wall of thorax, sequela"
35606	S20.353D	"Superficial foreign body of bilateral front wall of thorax, subsequent encounter"
35607	S20.353S	"Superficial foreign body of bilateral front wall of thorax, sequela"
35610	S20.354D	"Superficial foreign body of middle front wall of thorax, subsequent encounter"
35611	S20.354S	"Superficial foreign body of middle front wall of thorax, sequela"
35614	S20.359D	"Superficial foreign body of unspecified front wall of thorax, subsequent encounter"
35615	S20.359S	"Superficial foreign body of unspecified front wall of thorax, sequela"
35619	S20.361D	"Insect bite (nonvenomous) of right front wall of thorax, subsequent encounter"
35620	S20.361S	"Insect bite (nonvenomous) of right front wall of thorax, sequela"
35623	S20.362D	"Insect bite (nonvenomous) of left front wall of thorax, subsequent encounter"
35624	S20.362S	"Insect bite (nonvenomous) of left front wall of thorax, sequela"
35627	S20.363D	"Insect bite (nonvenomous) of bilateral front wall of thorax, subsequent encounter"
35628	S20.363S	"Insect bite (nonvenomous) of bilateral front wall of thorax, sequela"
35631	S20.364D	"Insect bite (nonvenomous) of middle front wall of thorax, subsequent encounter"
35632	S20.364S	"Insect bite (nonvenomous) of middle front wall of thorax, sequela"
35635	S20.369D	"Insect bite (nonvenomous) of unspecified front wall of thorax, subsequent encounter"
35636	S20.369S	"Insect bite (nonvenomous) of unspecified front wall of thorax, sequela"
35640	S20.371D	"Other superficial bite of right front wall of thorax, subsequent encounter"
35641	S20.371S	"Other superficial bite of right front wall of thorax, sequela"
35644	S20.372D	"Other superficial bite of left front wall of thorax, subsequent encounter"
35645	S20.372S	"Other superficial bite of left front wall of thorax, sequela"
35648	S20.373D	"Other superficial bite of bilateral front wall of thorax, subsequent encounter"
35649	S20.373S	"Other superficial bite of bilateral front wall of thorax, sequela"
35652	S20.374D	"Other superficial bite of middle front wall of thorax, subsequent encounter"
35653	S20.374S	"Other superficial bite of middle front wall of thorax, sequela"
35656	S20.379D	"Other superficial bite of unspecified front wall of thorax, subsequent encounter"
35657	S20.379S	"Other superficial bite of unspecified front wall of thorax, sequela"
35662	S20.401D	"Unspecified superficial injuries of right back wall of thorax, subsequent encounter"
35663	S20.401S	"Unspecified superficial injuries of right back wall of thorax, sequela"
35666	S20.402D	"Unspecified superficial injuries of left back wall of thorax, subsequent encounter"
35667	S20.402S	"Unspecified superficial injuries of left back wall of thorax, sequela"
35670	S20.409D	"Unspecified superficial injuries of unspecified back wall of thorax, subsequent encounter"
35671	S20.409S	"Unspecified superficial injuries of unspecified back wall of thorax, sequela"
35675	S20.411D	"Abrasion of right back wall of thorax, subsequent encounter"
35676	S20.411S	"Abrasion of right back wall of thorax, sequela"
35679	S20.412D	"Abrasion of left back wall of thorax, subsequent encounter"
35680	S20.412S	"Abrasion of left back wall of thorax, sequela"
35683	S20.419D	"Abrasion of unspecified back wall of thorax, subsequent encounter"
35684	S20.419S	"Abrasion of unspecified back wall of thorax, sequela"
35688	S20.421D	"Blister (nonthermal) of right back wall of thorax, subsequent encounter"
35689	S20.421S	"Blister (nonthermal) of right back wall of thorax, sequela"
35692	S20.422D	"Blister (nonthermal) of left back wall of thorax, subsequent encounter"
35693	S20.422S	"Blister (nonthermal) of left back wall of thorax, sequela"
35696	S20.429D	"Blister (nonthermal) of unspecified back wall of thorax, subsequent encounter"
35697	S20.429S	"Blister (nonthermal) of unspecified back wall of thorax, sequela"
35701	S20.441D	"External constriction of right back wall of thorax, subsequent encounter"
35702	S20.441S	"External constriction of right back wall of thorax, sequela"
35705	S20.442D	"External constriction of left back wall of thorax, subsequent encounter"
35706	S20.442S	"External constriction of left back wall of thorax, sequela"
35709	S20.449D	"External constriction of unspecified back wall of thorax, subsequent encounter"
35710	S20.449S	"External constriction of unspecified back wall of thorax, sequela"
35714	S20.451D	"Superficial foreign body of right back wall of thorax, subsequent encounter"
35715	S20.451S	"Superficial foreign body of right back wall of thorax, sequela"
35718	S20.452D	"Superficial foreign body of left back wall of thorax, subsequent encounter"
35719	S20.452S	"Superficial foreign body of left back wall of thorax, sequela"
35722	S20.459D	"Superficial foreign body of unspecified back wall of thorax, subsequent encounter"
35723	S20.459S	"Superficial foreign body of unspecified back wall of thorax, sequela"
35727	S20.461D	"Insect bite (nonvenomous) of right back wall of thorax, subsequent encounter"
35728	S20.461S	"Insect bite (nonvenomous) of right back wall of thorax, sequela"
35731	S20.462D	"Insect bite (nonvenomous) of left back wall of thorax, subsequent encounter"
35732	S20.462S	"Insect bite (nonvenomous) of left back wall of thorax, sequela"
35735	S20.469D	"Insect bite (nonvenomous) of unspecified back wall of thorax, subsequent encounter"
35736	S20.469S	"Insect bite (nonvenomous) of unspecified back wall of thorax, sequela"
35740	S20.471D	"Other superficial bite of right back wall of thorax, subsequent encounter"
35741	S20.471S	"Other superficial bite of right back wall of thorax, sequela"
35744	S20.472D	"Other superficial bite of left back wall of thorax, subsequent encounter"
35745	S20.472S	"Other superficial bite of left back wall of thorax, sequela"
35748	S20.479D	"Other superficial bite of unspecified back wall of thorax, subsequent encounter"
35749	S20.479S	"Other superficial bite of unspecified back wall of thorax, sequela"
35753	S20.90XD	"Unspecified superficial injury of unspecified parts of thorax, subsequent encounter"
35754	S20.90XS	"Unspecified superficial injury of unspecified parts of thorax, sequela"
35757	S20.91XD	"Abrasion of unspecified parts of thorax, subsequent encounter"
35758	S20.91XS	"Abrasion of unspecified parts of thorax, sequela"
35761	S20.92XD	"Blister (nonthermal) of unspecified parts of thorax, subsequent encounter"
35762	S20.92XS	"Blister (nonthermal) of unspecified parts of thorax, sequela"
35765	S20.94XD	"External constriction of unspecified parts of thorax, subsequent encounter"
35766	S20.94XS	"External constriction of unspecified parts of thorax, sequela"
35769	S20.95XD	"Superficial foreign body of unspecified parts of thorax, subsequent encounter"
35770	S20.95XS	"Superficial foreign body of unspecified parts of thorax, sequela"
35773	S20.96XD	"Insect bite (nonvenomous) of unspecified parts of thorax, subsequent encounter"
35774	S20.96XS	"Insect bite (nonvenomous) of unspecified parts of thorax, sequela"
35777	S20.97XD	"Other superficial bite of unspecified parts of thorax, subsequent encounter"
35778	S20.97XS	"Other superficial bite of unspecified parts of thorax, sequela"
35784	S21.001D	"Unspecified open wound of right breast, subsequent encounter"
35785	S21.001S	"Unspecified open wound of right breast, sequela"
35788	S21.002D	"Unspecified open wound of left breast, subsequent encounter"
35789	S21.002S	"Unspecified open wound of left breast, sequela"
35792	S21.009D	"Unspecified open wound of unspecified breast, subsequent encounter"
35793	S21.009S	"Unspecified open wound of unspecified breast, sequela"
35797	S21.011D	"Laceration without foreign body of right breast, subsequent encounter"
35798	S21.011S	"Laceration without foreign body of right breast, sequela"
35801	S21.012D	"Laceration without foreign body of left breast, subsequent encounter"
35802	S21.012S	"Laceration without foreign body of left breast, sequela"
35805	S21.019D	"Laceration without foreign body of unspecified breast, subsequent encounter"
35806	S21.019S	"Laceration without foreign body of unspecified breast, sequela"
35810	S21.021D	"Laceration with foreign body of right breast, subsequent encounter"
35811	S21.021S	"Laceration with foreign body of right breast, sequela"
35814	S21.022D	"Laceration with foreign body of left breast, subsequent encounter"
35815	S21.022S	"Laceration with foreign body of left breast, sequela"
35818	S21.029D	"Laceration with foreign body of unspecified breast, subsequent encounter"
35819	S21.029S	"Laceration with foreign body of unspecified breast, sequela"
35823	S21.031D	"Puncture wound without foreign body of right breast, subsequent encounter"
35824	S21.031S	"Puncture wound without foreign body of right breast, sequela"
35827	S21.032D	"Puncture wound without foreign body of left breast, subsequent encounter"
35828	S21.032S	"Puncture wound without foreign body of left breast, sequela"
35831	S21.039D	"Puncture wound without foreign body of unspecified breast, subsequent encounter"
35832	S21.039S	"Puncture wound without foreign body of unspecified breast, sequela"
35836	S21.041D	"Puncture wound with foreign body of right breast, subsequent encounter"
35837	S21.041S	"Puncture wound with foreign body of right breast, sequela"
35840	S21.042D	"Puncture wound with foreign body of left breast, subsequent encounter"
35841	S21.042S	"Puncture wound with foreign body of left breast, sequela"
35844	S21.049D	"Puncture wound with foreign body of unspecified breast, subsequent encounter"
35845	S21.049S	"Puncture wound with foreign body of unspecified breast, sequela"
35849	S21.051D	"Open bite of right breast, subsequent encounter"
35850	S21.051S	"Open bite of right breast, sequela"
35853	S21.052D	"Open bite of left breast, subsequent encounter"
35854	S21.052S	"Open bite of left breast, sequela"
35857	S21.059D	"Open bite of unspecified breast, subsequent encounter"
35858	S21.059S	"Open bite of unspecified breast, sequela"
35863	S21.101D	"Unspecified open wound of right front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35864	S21.101S	"Unspecified open wound of right front wall of thorax without penetration into thoracic cavity, sequela"
35867	S21.102D	"Unspecified open wound of left front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35868	S21.102S	"Unspecified open wound of left front wall of thorax without penetration into thoracic cavity, sequela"
35871	S21.109D	"Unspecified open wound of unspecified front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35872	S21.109S	"Unspecified open wound of unspecified front wall of thorax without penetration into thoracic cavity, sequela"
35876	S21.111D	"Laceration without foreign body of right front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35877	S21.111S	"Laceration without foreign body of right front wall of thorax without penetration into thoracic cavity, sequela"
35880	S21.112D	"Laceration without foreign body of left front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35881	S21.112S	"Laceration without foreign body of left front wall of thorax without penetration into thoracic cavity, sequela"
35884	S21.119D	"Laceration without foreign body of unspecified front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35885	S21.119S	"Laceration without foreign body of unspecified front wall of thorax without penetration into thoracic cavity, sequela"
35889	S21.121D	"Laceration with foreign body of right front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35890	S21.121S	"Laceration with foreign body of right front wall of thorax without penetration into thoracic cavity, sequela"
35893	S21.122D	"Laceration with foreign body of left front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35894	S21.122S	"Laceration with foreign body of left front wall of thorax without penetration into thoracic cavity, sequela"
35897	S21.129D	"Laceration with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35898	S21.129S	"Laceration with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, sequela"
35902	S21.131D	"Puncture wound without foreign body of right front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35903	S21.131S	"Puncture wound without foreign body of right front wall of thorax without penetration into thoracic cavity, sequela"
35906	S21.132D	"Puncture wound without foreign body of left front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35907	S21.132S	"Puncture wound without foreign body of left front wall of thorax without penetration into thoracic cavity, sequela"
35910	S21.139D	"Puncture wound without foreign body of unspecified front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35911	S21.139S	"Puncture wound without foreign body of unspecified front wall of thorax without penetration into thoracic cavity, sequela"
35915	S21.141D	"Puncture wound with foreign body of right front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35916	S21.141S	"Puncture wound with foreign body of right front wall of thorax without penetration into thoracic cavity, sequela"
35919	S21.142D	"Puncture wound with foreign body of left front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35920	S21.142S	"Puncture wound with foreign body of left front wall of thorax without penetration into thoracic cavity, sequela"
35923	S21.149D	"Puncture wound with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35924	S21.149S	"Puncture wound with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, sequela"
35928	S21.151D	"Open bite of right front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35929	S21.151S	"Open bite of right front wall of thorax without penetration into thoracic cavity, sequela"
35932	S21.152D	"Open bite of left front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35933	S21.152S	"Open bite of left front wall of thorax without penetration into thoracic cavity, sequela"
35936	S21.159D	"Open bite of unspecified front wall of thorax without penetration into thoracic cavity, subsequent encounter"
35937	S21.159S	"Open bite of unspecified front wall of thorax without penetration into thoracic cavity, sequela"
35942	S21.201D	"Unspecified open wound of right back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35943	S21.201S	"Unspecified open wound of right back wall of thorax without penetration into thoracic cavity, sequela"
35946	S21.202D	"Unspecified open wound of left back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35947	S21.202S	"Unspecified open wound of left back wall of thorax without penetration into thoracic cavity, sequela"
35950	S21.209D	"Unspecified open wound of unspecified back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35951	S21.209S	"Unspecified open wound of unspecified back wall of thorax without penetration into thoracic cavity, sequela"
35955	S21.211D	"Laceration without foreign body of right back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35956	S21.211S	"Laceration without foreign body of right back wall of thorax without penetration into thoracic cavity, sequela"
35959	S21.212D	"Laceration without foreign body of left back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35960	S21.212S	"Laceration without foreign body of left back wall of thorax without penetration into thoracic cavity, sequela"
35963	S21.219D	"Laceration without foreign body of unspecified back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35964	S21.219S	"Laceration without foreign body of unspecified back wall of thorax without penetration into thoracic cavity, sequela"
35968	S21.221D	"Laceration with foreign body of right back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35969	S21.221S	"Laceration with foreign body of right back wall of thorax without penetration into thoracic cavity, sequela"
35972	S21.222D	"Laceration with foreign body of left back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35973	S21.222S	"Laceration with foreign body of left back wall of thorax without penetration into thoracic cavity, sequela"
35976	S21.229D	"Laceration with foreign body of unspecified back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35977	S21.229S	"Laceration with foreign body of unspecified back wall of thorax without penetration into thoracic cavity, sequela"
35981	S21.231D	"Puncture wound without foreign body of right back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35982	S21.231S	"Puncture wound without foreign body of right back wall of thorax without penetration into thoracic cavity, sequela"
35985	S21.232D	"Puncture wound without foreign body of left back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35986	S21.232S	"Puncture wound without foreign body of left back wall of thorax without penetration into thoracic cavity, sequela"
35989	S21.239D	"Puncture wound without foreign body of unspecified back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35990	S21.239S	"Puncture wound without foreign body of unspecified back wall of thorax without penetration into thoracic cavity, sequela"
35994	S21.241D	"Puncture wound with foreign body of right back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35995	S21.241S	"Puncture wound with foreign body of right back wall of thorax without penetration into thoracic cavity, sequela"
35998	S21.242D	"Puncture wound with foreign body of left back wall of thorax without penetration into thoracic cavity, subsequent encounter"
35999	S21.242S	"Puncture wound with foreign body of left back wall of thorax without penetration into thoracic cavity, sequela"
36002	S21.249D	"Puncture wound with foreign body of unspecified back wall of thorax without penetration into thoracic cavity, subsequent encounter"
36003	S21.249S	"Puncture wound with foreign body of unspecified back wall of thorax without penetration into thoracic cavity, sequela"
36007	S21.251D	"Open bite of right back wall of thorax without penetration into thoracic cavity, subsequent encounter"
36008	S21.251S	"Open bite of right back wall of thorax without penetration into thoracic cavity, sequela"
36011	S21.252D	"Open bite of left back wall of thorax without penetration into thoracic cavity, subsequent encounter"
36012	S21.252S	"Open bite of left back wall of thorax without penetration into thoracic cavity, sequela"
36015	S21.259D	"Open bite of unspecified back wall of thorax without penetration into thoracic cavity, subsequent encounter"
36016	S21.259S	"Open bite of unspecified back wall of thorax without penetration into thoracic cavity, sequela"
36021	S21.301D	"Unspecified open wound of right front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36022	S21.301S	"Unspecified open wound of right front wall of thorax with penetration into thoracic cavity, sequela"
36025	S21.302D	"Unspecified open wound of left front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36026	S21.302S	"Unspecified open wound of left front wall of thorax with penetration into thoracic cavity, sequela"
36029	S21.309D	"Unspecified open wound of unspecified front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36030	S21.309S	"Unspecified open wound of unspecified front wall of thorax with penetration into thoracic cavity, sequela"
36034	S21.311D	"Laceration without foreign body of right front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36035	S21.311S	"Laceration without foreign body of right front wall of thorax with penetration into thoracic cavity, sequela"
36038	S21.312D	"Laceration without foreign body of left front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36039	S21.312S	"Laceration without foreign body of left front wall of thorax with penetration into thoracic cavity, sequela"
36042	S21.319D	"Laceration without foreign body of unspecified front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36043	S21.319S	"Laceration without foreign body of unspecified front wall of thorax with penetration into thoracic cavity, sequela"
36047	S21.321D	"Laceration with foreign body of right front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36048	S21.321S	"Laceration with foreign body of right front wall of thorax with penetration into thoracic cavity, sequela"
36051	S21.322D	"Laceration with foreign body of left front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36052	S21.322S	"Laceration with foreign body of left front wall of thorax with penetration into thoracic cavity, sequela"
36055	S21.329D	"Laceration with foreign body of unspecified front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36056	S21.329S	"Laceration with foreign body of unspecified front wall of thorax with penetration into thoracic cavity, sequela"
36060	S21.331D	"Puncture wound without foreign body of right front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36061	S21.331S	"Puncture wound without foreign body of right front wall of thorax with penetration into thoracic cavity, sequela"
36064	S21.332D	"Puncture wound without foreign body of left front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36065	S21.332S	"Puncture wound without foreign body of left front wall of thorax with penetration into thoracic cavity, sequela"
36068	S21.339D	"Puncture wound without foreign body of unspecified front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36069	S21.339S	"Puncture wound without foreign body of unspecified front wall of thorax with penetration into thoracic cavity, sequela"
36073	S21.341D	"Puncture wound with foreign body of right front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36074	S21.341S	"Puncture wound with foreign body of right front wall of thorax with penetration into thoracic cavity, sequela"
36077	S21.342D	"Puncture wound with foreign body of left front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36078	S21.342S	"Puncture wound with foreign body of left front wall of thorax with penetration into thoracic cavity, sequela"
36081	S21.349D	"Puncture wound with foreign body of unspecified front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36082	S21.349S	"Puncture wound with foreign body of unspecified front wall of thorax with penetration into thoracic cavity, sequela"
36086	S21.351D	"Open bite of right front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36087	S21.351S	"Open bite of right front wall of thorax with penetration into thoracic cavity, sequela"
36090	S21.352D	"Open bite of left front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36091	S21.352S	"Open bite of left front wall of thorax with penetration into thoracic cavity, sequela"
36094	S21.359D	"Open bite of unspecified front wall of thorax with penetration into thoracic cavity, subsequent encounter"
36095	S21.359S	"Open bite of unspecified front wall of thorax with penetration into thoracic cavity, sequela"
36100	S21.401D	"Unspecified open wound of right back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36101	S21.401S	"Unspecified open wound of right back wall of thorax with penetration into thoracic cavity, sequela"
36104	S21.402D	"Unspecified open wound of left back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36105	S21.402S	"Unspecified open wound of left back wall of thorax with penetration into thoracic cavity, sequela"
36108	S21.409D	"Unspecified open wound of unspecified back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36109	S21.409S	"Unspecified open wound of unspecified back wall of thorax with penetration into thoracic cavity, sequela"
36113	S21.411D	"Laceration without foreign body of right back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36114	S21.411S	"Laceration without foreign body of right back wall of thorax with penetration into thoracic cavity, sequela"
36117	S21.412D	"Laceration without foreign body of left back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36118	S21.412S	"Laceration without foreign body of left back wall of thorax with penetration into thoracic cavity, sequela"
36121	S21.419D	"Laceration without foreign body of unspecified back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36122	S21.419S	"Laceration without foreign body of unspecified back wall of thorax with penetration into thoracic cavity, sequela"
36126	S21.421D	"Laceration with foreign body of right back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36127	S21.421S	"Laceration with foreign body of right back wall of thorax with penetration into thoracic cavity, sequela"
36130	S21.422D	"Laceration with foreign body of left back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36131	S21.422S	"Laceration with foreign body of left back wall of thorax with penetration into thoracic cavity, sequela"
36134	S21.429D	"Laceration with foreign body of unspecified back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36135	S21.429S	"Laceration with foreign body of unspecified back wall of thorax with penetration into thoracic cavity, sequela"
36139	S21.431D	"Puncture wound without foreign body of right back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36140	S21.431S	"Puncture wound without foreign body of right back wall of thorax with penetration into thoracic cavity, sequela"
36143	S21.432D	"Puncture wound without foreign body of left back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36144	S21.432S	"Puncture wound without foreign body of left back wall of thorax with penetration into thoracic cavity, sequela"
